time,temperature_2m,relative_humidity_2m,apparent_temperature,wind_speed_10m,shortwave_radiation,city,latitude,longitude,elevation_m,ndvi,built_up_fraction,land_surface_temperature_c,risk_score_target,risk_category_target
2023-01-01 14:00:00,6.0,54,2.3,8.4,384.0,tashkent,41.2995,69.2401,455,0.31,0.72,11.1,20.2,Moderate
2023-01-02 14:00:00,5.3,65,2.0,7.3,352.0,tashkent,41.2995,69.2401,455,0.31,0.72,10.399999999999999,22.5,Moderate
2023-01-03 14:00:00,2.7,85,-2.2,19.0,50.0,tashkent,41.2995,69.2401,455,0.31,0.72,7.8,19.6,Safe
2023-01-04 14:00:00,9.7,56,6.5,8.8,234.0,tashkent,41.2995,69.2401,455,0.31,0.72,14.799999999999999,18.9,Safe
2023-01-05 14:00:00,13.6,53,11.8,2.9,384.0,tashkent,41.2995,69.2401,455,0.31,0.72,18.7,22.2,Moderate
2023-01-06 14:00:00,9.1,83,6.2,13.1,84.0,tashkent,41.2995,69.2401,455,0.31,0.72,14.2,22.0,Moderate
2023-01-07 14:00:00,12.6,77,10.1,14.1,188.0,tashkent,41.2995,69.2401,455,0.31,0.72,17.7,21.0,Moderate
2023-01-08 14:00:00,11.1,69,8.9,7.0,269.0,tashkent,41.2995,69.2401,455,0.31,0.72,16.2,22.4,Moderate
2023-01-09 14:00:00,5.1,94,2.0,11.5,118.0,tashkent,41.2995,69.2401,455,0.31,0.72,10.2,22.6,Moderate
2023-01-10 14:00:00,-7.0,87,-11.7,11.2,193.0,tashkent,41.2995,69.2401,455,0.31,0.72,-1.9000000000000004,22.7,Moderate
2023-01-11 14:00:00,-13.9,75,-18.4,5.5,454.0,tashkent,41.2995,69.2401,455,0.31,0.72,-8.8,26.3,Moderate
2023-01-12 14:00:00,-16.5,70,-20.6,1.8,463.0,tashkent,41.2995,69.2401,455,0.31,0.72,-11.4,26.8,Moderate
2023-01-13 14:00:00,-17.0,76,-21.2,2.5,465.0,tashkent,41.2995,69.2401,455,0.31,0.72,-11.9,27.9,Moderate
2023-01-14 14:00:00,-15.5,59,-19.7,2.4,467.0,tashkent,41.2995,69.2401,455,0.31,0.72,-10.4,24.5,Moderate
2023-01-15 14:00:00,-11.6,60,-15.9,4.5,472.0,tashkent,41.2995,69.2401,455,0.31,0.72,-6.5,23.9,Moderate
2023-01-16 14:00:00,-9.1,59,-13.0,2.2,477.0,tashkent,41.2995,69.2401,455,0.31,0.72,-4.0,24.7,Moderate
2023-01-17 14:00:00,-4.2,63,-8.2,5.1,477.0,tashkent,41.2995,69.2401,455,0.31,0.72,0.8999999999999995,24.4,Moderate
2023-01-18 14:00:00,-3.7,61,-7.3,2.3,484.0,tashkent,41.2995,69.2401,455,0.31,0.72,1.3999999999999995,25.2,Moderate
2023-01-19 14:00:00,-1.7,63,-5.3,3.5,476.0,tashkent,41.2995,69.2401,455,0.31,0.72,3.3999999999999995,25.0,Moderate
2023-01-20 14:00:00,-3.6,73,-6.9,2.3,484.0,tashkent,41.2995,69.2401,455,0.31,0.72,1.4999999999999996,27.6,Moderate
2023-01-21 14:00:00,-3.9,77,-7.5,4.4,483.0,tashkent,41.2995,69.2401,455,0.31,0.72,1.1999999999999997,27.5,Moderate
2023-01-22 14:00:00,-6.4,89,-9.9,3.1,442.0,tashkent,41.2995,69.2401,455,0.31,0.72,-1.3000000000000007,28.2,Moderate
2023-01-23 14:00:00,-2.6,68,-6.4,5.2,476.0,tashkent,41.2995,69.2401,455,0.31,0.72,2.4999999999999996,25.3,Moderate
2023-01-24 14:00:00,-4.8,89,-7.9,1.8,459.0,tashkent,41.2995,69.2401,455,0.31,0.72,0.2999999999999998,28.8,Moderate
2023-01-25 14:00:00,-2.1,75,-5.6,4.8,482.0,tashkent,41.2995,69.2401,455,0.31,0.72,2.9999999999999996,26.9,Moderate
2023-01-26 14:00:00,-1.9,76,-5.3,3.9,494.0,tashkent,41.2995,69.2401,455,0.31,0.72,3.1999999999999997,27.6,Moderate
2023-01-27 14:00:00,-1.7,81,-4.6,1.5,483.0,tashkent,41.2995,69.2401,455,0.31,0.72,3.3999999999999995,29.1,Moderate
2023-01-28 14:00:00,1.6,70,-1.9,5.6,500.0,tashkent,41.2995,69.2401,455,0.31,0.72,6.699999999999999,25.8,Moderate
2023-01-29 14:00:00,-0.4,86,-3.1,2.2,475.0,tashkent,41.2995,69.2401,455,0.31,0.72,4.699999999999999,28.9,Moderate
2023-01-30 14:00:00,4.1,59,0.8,4.9,470.0,tashkent,41.2995,69.2401,455,0.31,0.72,9.2,23.6,Moderate
2023-01-31 14:00:00,3.9,87,1.1,6.8,316.0,tashkent,41.2995,69.2401,455,0.31,0.72,9.0,25.2,Moderate
2023-02-01 14:00:00,8.9,60,6.4,4.0,221.0,tashkent,41.2995,69.2401,455,0.31,0.72,14.0,21.6,Moderate
2023-02-02 14:00:00,5.8,93,2.7,12.5,90.0,tashkent,41.2995,69.2401,455,0.31,0.72,10.899999999999999,22.2,Moderate
2023-02-03 14:00:00,10.7,76,8.2,10.6,367.0,tashkent,41.2995,69.2401,455,0.31,0.72,15.799999999999999,23.5,Moderate
2023-02-04 14:00:00,11.2,67,8.6,9.4,483.0,tashkent,41.2995,69.2401,455,0.31,0.72,16.299999999999997,23.5,Moderate
2023-02-05 14:00:00,9.0,78,7.2,4.7,496.0,tashkent,41.2995,69.2401,455,0.31,0.72,14.1,27.7,Moderate
2023-02-06 14:00:00,7.5,65,4.8,5.4,486.0,tashkent,41.2995,69.2401,455,0.31,0.72,12.6,24.7,Moderate
2023-02-07 14:00:00,13.4,39,10.4,5.1,516.0,tashkent,41.2995,69.2401,455,0.31,0.72,18.5,20.0,Moderate
2023-02-08 14:00:00,8.6,73,5.0,14.9,107.0,tashkent,41.2995,69.2401,455,0.31,0.72,13.7,19.9,Safe
2023-02-09 14:00:00,1.7,90,-3.0,18.1,58.0,tashkent,41.2995,69.2401,455,0.31,0.72,6.8,20.0,Moderate
2023-02-10 14:00:00,-2.7,54,-7.2,8.8,537.0,tashkent,41.2995,69.2401,455,0.31,0.72,2.3999999999999995,21.8,Moderate
2023-02-11 14:00:00,2.1,41,-3.1,12.8,513.0,tashkent,41.2995,69.2401,455,0.31,0.72,7.199999999999999,17.3,Safe
2023-02-12 14:00:00,4.4,40,0.3,6.5,550.0,tashkent,41.2995,69.2401,455,0.31,0.72,9.5,20.0,Moderate
2023-02-13 14:00:00,7.0,43,3.2,6.7,361.0,tashkent,41.2995,69.2401,455,0.31,0.72,12.1,18.4,Safe
2023-02-14 14:00:00,10.9,57,8.5,4.5,492.0,tashkent,41.2995,69.2401,455,0.31,0.72,16.0,23.6,Moderate
2023-02-15 14:00:00,6.8,76,4.2,6.1,174.0,tashkent,41.2995,69.2401,455,0.31,0.72,11.899999999999999,24.0,Moderate
2023-02-16 14:00:00,6.8,95,5.5,1.4,56.0,tashkent,41.2995,69.2401,455,0.31,0.72,11.899999999999999,26.4,Moderate
2023-02-17 14:00:00,8.4,87,6.3,8.0,141.0,tashkent,41.2995,69.2401,455,0.31,0.72,13.5,24.0,Moderate
2023-02-18 14:00:00,8.8,65,6.0,6.9,452.0,tashkent,41.2995,69.2401,455,0.31,0.72,13.9,23.8,Moderate
2023-02-19 14:00:00,10.6,54,7.9,5.6,534.0,tashkent,41.2995,69.2401,455,0.31,0.72,15.7,23.0,Moderate
2023-02-20 14:00:00,15.0,46,12.6,6.8,560.0,tashkent,41.2995,69.2401,455,0.31,0.72,20.1,21.2,Moderate
2023-02-21 14:00:00,18.0,35,15.3,7.4,572.0,tashkent,41.2995,69.2401,455,0.31,0.72,23.1,18.9,Safe
2023-02-22 14:00:00,14.2,54,12.1,6.0,300.0,tashkent,41.2995,69.2401,455,0.31,0.72,19.299999999999997,20.2,Moderate
2023-02-23 14:00:00,19.2,28,16.1,8.0,588.0,tashkent,41.2995,69.2401,455,0.31,0.72,24.299999999999997,17.9,Safe
2023-02-24 14:00:00,14.5,61,12.5,8.2,299.0,tashkent,41.2995,69.2401,455,0.31,0.72,19.6,20.7,Moderate
2023-02-25 14:00:00,0.9,72,-3.1,9.4,180.0,tashkent,41.2995,69.2401,455,0.31,0.72,6.0,21.9,Moderate
2023-02-26 14:00:00,8.5,61,5.6,8.9,606.0,tashkent,41.2995,69.2401,455,0.31,0.72,13.6,23.9,Moderate
2023-02-27 14:00:00,12.9,47,10.1,9.4,621.0,tashkent,41.2995,69.2401,455,0.31,0.72,18.0,21.1,Moderate
2023-02-28 14:00:00,13.6,50,11.3,7.6,618.0,tashkent,41.2995,69.2401,455,0.31,0.72,18.7,22.4,Moderate
2023-03-01 14:00:00,17.1,36,15.1,4.7,631.0,tashkent,41.2995,69.2401,455,0.31,0.72,22.200000000000003,20.9,Moderate
2023-03-02 14:00:00,20.3,37,18.0,10.3,630.0,tashkent,41.2995,69.2401,455,0.31,0.72,25.4,18.8,Safe
2023-03-03 14:00:00,16.3,47,12.8,15.1,494.0,tashkent,41.2995,69.2401,455,0.31,0.72,21.4,17.4,Safe
2023-03-04 14:00:00,19.9,47,18.8,5.5,586.0,tashkent,41.2995,69.2401,455,0.31,0.72,25.0,22.3,Moderate
2023-03-05 14:00:00,20.0,46,16.6,19.9,541.0,tashkent,41.2995,69.2401,455,0.31,0.72,25.1,15.8,Safe
2023-03-06 14:00:00,20.7,48,18.6,15.1,609.0,tashkent,41.2995,69.2401,455,0.31,0.72,25.799999999999997,18.9,Safe
2023-03-07 14:00:00,24.9,29,21.1,21.0,628.0,tashkent,41.2995,69.2401,455,0.31,0.72,30.0,14.3,Safe
2023-03-08 14:00:00,12.9,69,10.5,11.2,340.0,tashkent,41.2995,69.2401,455,0.31,0.72,18.0,21.6,Moderate
2023-03-09 14:00:00,15.9,64,14.2,9.2,334.0,tashkent,41.2995,69.2401,455,0.31,0.72,21.0,21.3,Moderate
2023-03-10 14:00:00,24.7,39,23.5,8.3,561.0,tashkent,41.2995,69.2401,455,0.31,0.72,29.799999999999997,20.1,Moderate
2023-03-11 14:00:00,22.4,50,19.5,25.1,601.0,tashkent,41.2995,69.2401,455,0.31,0.72,27.5,16.4,Safe
2023-03-12 14:00:00,11.8,84,10.2,8.9,152.0,tashkent,41.2995,69.2401,455,0.31,0.72,16.9,23.7,Moderate
2023-03-13 14:00:00,17.4,45,16.4,4.6,682.0,tashkent,41.2995,69.2401,455,0.31,0.72,22.5,23.3,Moderate
2023-03-14 14:00:00,20.5,39,19.2,7.5,668.0,tashkent,41.2995,69.2401,455,0.31,0.72,25.6,20.8,Moderate
2023-03-15 14:00:00,19.4,35,17.6,7.1,681.0,tashkent,41.2995,69.2401,455,0.31,0.72,24.5,20.3,Moderate
2023-03-16 14:00:00,18.9,47,18.1,6.0,692.0,tashkent,41.2995,69.2401,455,0.31,0.72,24.0,23.3,Moderate
2023-03-17 14:00:00,18.5,49,17.4,8.9,702.0,tashkent,41.2995,69.2401,455,0.31,0.72,23.6,22.6,Moderate
2023-03-18 14:00:00,18.2,55,17.7,7.3,700.0,tashkent,41.2995,69.2401,455,0.31,0.72,23.299999999999997,24.4,Moderate
2023-03-19 14:00:00,17.6,64,17.6,4.7,627.0,tashkent,41.2995,69.2401,455,0.31,0.72,22.700000000000003,26.4,Moderate
2023-03-20 14:00:00,16.0,67,14.3,10.7,513.0,tashkent,41.2995,69.2401,455,0.31,0.72,21.1,23.3,Moderate
